Title,Address,Price,Bedrooms,Building Area (m²),Land Area (m²),rejection_reason
rumah mewah ready stock new alicante tanpa dp," gading serpong, tangerang","rp 5,81m",54.0,188m²,250m²,Impossible bedroom density; 
"dijual rumah shm 1 lantai di sektor 7a, gading serpong, tangerang"," gading serpong, tangerang","rp 1,95m",3.0,1m²,162m²,Impossible bedroom density; Unrealistically high price for building area; 
"rumah siap huni + garasi dan lokasi strategis di cikupa, tangerang"," cikupa, tangerang",rp 650jt,3.0,1m²,90m²,Impossible bedroom density; Unrealistically high price for building area; 
beli rumah dapat motor tanpa di undi promo 2.5 juta ," cikupa, tangerang",rp 185jt,2.0,185000000.0m²,60m²,Impossible building-to-land ratio; 
dijual rumah di tangerang suvarna sutera  cluster elysia," cikupa, tangerang","rp 2,85m",4.0,2165m²,180m²,Impossible building-to-land ratio; 
dijual dan sewa pabrik hadap utara lokasi dikws bonen  cikupa - tanger," cikupa, tangerang","rp 1,60m",3.0,3000m²,4500m²,Unrealistically low price for land area; 
dijual rumah kost 2 lantai di cluster citra raya tangerang," cikupa, tangerang","rp 2,30m",13.0,108m²,90m²,Impossible bedroom density; 
rumah 2 lantai citra raya cluster aurora dekat sekolah citra berkat," cikupa, tangerang","rp 1,30m",32.0,93m²,105m²,Impossible bedroom density; 
dijual rumah suvarna sutera 8x20 cluster daru. siap huni   termurah  ,"jalan suvarna sutera boulevard, tangerang kabupaten, indonesia cikupa, tangerang","rp 1,75m",43.0,115m²,160m²,Impossible bedroom density; 
dijual rumah uk 6x11mtr siap huni di green village boulevard cipondoh," cipondoh, tangerang","rp 1,33m",3.0,816m²,66m²,Impossible building-to-land ratio; 
poris indah rumah baru lt 60m 2 lantai full,"perumahan poris indah  cipondoh, tangerang","rp 1,25m",3.0,2m²,60m²,Impossible bedroom density; Unrealistically high price for building area; 
"turun harga rumah di green lake city luas 10x18 2,5 lantai shm"," cipondoh, tangerang","rp 5,30m",4.0,2m²,180m²,Impossible bedroom density; Unrealistically high price for building area; 
dijual rumah di cluster viola. banjar wijaya,"banjar wijaya, cipete kel., pinang, tangerang kota, 15142, indonesia cipondoh, tangerang",rp 2m,4.0,2m²,126m²,Impossible bedroom density; Unrealistically high price for building area; 
rumah hoek baru taman royal 1 lt baru ceper dekat poris lt 271 m2  neg,"taman royal cipondoh, tangerang","rp 2,85m",5.0,160m²,100000000m²,Unrealistically low price for land area; 
rumah hoek 2 lt di banjar wijaya lt 128 m2 lb 140 m2 ada 4+1 kt 4 km ,"banjar wijaya cipondoh, tangerang","rp 2,50m",5.0,128m²,100000000m²,Unrealistically low price for land area; 
"rumah 2 lt di banjar wijaya 6,3 x 18m2 lt 120 m2 ada 4 kt 3 km shm ","banjar wijaya cipondoh, tangerang",rp 2m,4.0,120m²,10000000m²,Unrealistically low price for land area; 
di jual rumah strategis,"green lake city, cipondoh, tangerang kota, indonesia cipondoh, tangerang","rp 2,70m",4.0,96.0m²,1m²,Impossible building-to-land ratio; 
dijual rumah dg vieuw golf," cipondoh, tangerang","rp 4,20m",4.0,25m²,220m²,Impossible bedroom density; Unrealistically high price for building area; 
cluster leonora summarecon serpong sisa 2 unit siapa cepat dia dapat," karawaci, tangerang","rp 2,45m",33.0,125m²,72m²,Impossible bedroom density; 
"rumah joglo jawa, ori kuno antik unik komplit gebyok tumpangsari teras"," karawaci, tangerang","rp 394,70jt",1.0,100m²,1m²,Impossible building-to-land ratio; 
rumah murah perumnas 2 karawaci kota tangerang," karawaci, tangerang",rp 589jt,43.0,100m²,72m²,Impossible bedroom density; 
dijual murah rumah 4 kamar baru renovasi di harkit karawaci tangerang ,"perumahan harapan  kita karawaci, tangerang",rp 820jt,4.0,1m²,112m²,Impossible bedroom density; Unrealistically high price for building area; 
jual rumah cendana spring lippo karawaci," karawaci, tangerang","rp 1,25m",2.0,5m²,65m²,Impossible bedroom density; Unrealistically high price for building area; 
perumahan palem semi,"perumahan palem semi karawaci, tangerang","rp 1,50m",32.0,120m²,150m²,Impossible bedroom density; 
rumah cantik mewah di karawaci taman himalaya tanah besar,"taman himalaya karawaci karawaci, tangerang","rp 3,90m",34.0,230m²,300m²,Impossible bedroom density; 
 dijual rumah mewah di lippo karawaci dengan arsitektur klasik & taman," karawaci, tangerang",rp 60m,6.0,1m²,1593m²,Impossible bedroom density; Unrealistically high price for building area; 
jual rumah show unit berikut furnis ," karawaci, tangerang","rp 1,90m",2.0,5m²,84m²,Impossible bedroom density; Unrealistically high price for building area; 
cendana essence tahap1 over kredit 50jt," karawaci, tangerang",rp 50jt,3.0,68m²,74m²,Unrealistically low price for land area; 
dijual cepat rumah taman ubud permata timur lokasi strategis," karawaci, tangerang","rp 1,30m",3.0,1m²,90m²,Impossible bedroom density; Unrealistically high price for building area; 
