City,Bedrooms,Building Area (m²),Land Area (m²),Price
tangerang,2,68,130,2300000000
tangerang,5,192,128,4200000000
tangerang,3,94,158,2800000000
tangerang,3,125,144,2800000000
tangerang,4,325,270,7500000000
tangerang,4,87,62,843000000
tangerang,3,60,50,729000000
tangerang,3,84,84,2700000000
tangerang,4,295,200,9400000000
tangerang,2,93,60,1720000000
tangerang,2,36,90,940000000
tangerang,3,73,78,1220000000
tangerang,4,250,180,3100000000
tangerang,4,120,141,1660000000
tangerang,3,130,120,1800000000
tangerang,2,60,72,530000000
tangerang,2,120,96,1100000000
tangerang,3,62,82,1390000000
tangerang,2,59,48,1330000000
tangerang,2,75,82,610000000
tangerang,2,46,84,390000000
tangerang,4,135,120,4090000000
tangerang,3,72,84,830000000
tangerang,4,180,180,2770000000
tangerang,3,120,60,2100000000
tangerang,4,130,159,1390000000
tangerang,3,96,96,720000000
tangerang,2,80,56,1500000000
tangerang,2,60,60,5530000000
tangerang,1,60,48,1280000000
tangerang,4,165,105,900000000
tangerang,4,100,138,1050000000
tangerang,2,70,72,890000000
tangerang,2,55,90,1330000000
tangerang,5,150,118,3500000000
tangerang,4,72,72,780000000
tangerang,5,200,138,3320000000
tangerang,4,200,162,2770000000
tangerang,2,48,72,780000000
tangerang,3,180,101,1770000000
tangerang,2,60,96,910000000
tangerang,4,150,72,1070000000
tangerang,4,77,55,2160000000
tangerang,5,338,176,7290000000
tangerang,4,140,216,2190000000
tangerang,6,200,150,2770000000
tangerang,5,134,149,3500000000
tangerang,3,105,105,3300000000
tangerang,2,50,40,1000000000
tangerang,5,126,135,1390000000
tangerang,3,120,120,1880000000
tangerang,4,110,96,1370000000
tangerang,6,150,90,2100000000
tangerang,3,80,80,500000000
tangerang,4,212,249,5270000000
tangerang,5,280,500,7190000000
tangerang,9,200,249,4000000000
tangerang,2,46,90,1900000000
tangerang,4,83,72,1220000000
tangerang,4,85,72,1830000000
tangerang,3,181,135,5770000000
tangerang,2,90,150,2630000000
tangerang,2,45,69,670000000
tangerang,2,51,84,1080000000
tangerang,2,58,48,1350000000
tangerang,3,60,60,990000000
tangerang,3,73,72,1280000000
tangerang,4,96,120,940000000
tangerang,2,70,105,1550000000
tangerang,4,126,120,2660000000
tangerang,3,54,90,710000000
tangerang,4,134,120,3250000000
tangerang,3,200,120,3500000000
tangerang,3,120,60,2100000000
tangerang,2,68,56,1770000000
tangerang,2,48,90,890000000
tangerang,2,120,60,2270000000
tangerang,4,156,122,2400000000
tangerang,3,155,80,2400000000
tangerang,3,89,84,2150000000
tangerang,6,500,300,8500000000
tangerang,3,89,112,2300000000
tangerang,2,70,60,1300000000
tangerang,4,325,180,9000000000
tangerang,2,65,65,1500000000
tangerang,3,95,108,2100000000
tangerang,4,192,128,4200000000
tangerang,3,81,80,1950000000
tangerang,5,277,171,6300000000
tangerang,5,277,171,6390000000
tangerang,4,192,128,4300000000
tangerang,3,125,72,2400000000
tangerang,3,84,72,1300000000
tangerang,3,120,120,1400000000
tangerang,4,72,84,1330000000
tangerang,5,148,84,2900000000
tangerang,3,80,48,1450000000
tangerang,4,240,160,5300000000
tangerang,4,155,144,4200000000
tangerang,4,89,84,2650000000
tangerang,3,108,108,1000000000
tangerang,3,90,140,3200000000
tangerang,4,124,105,3100000000
tangerang,3,90,91,1330000000
